City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
taihe,30.87,105.38,56.84,80.0,67.0,3.13,CN,1603228141.0
mitu,1.2,-70.17,81.05,90.0,99.0,2.01,CO,1603227888.0
mawlaik,23.63,94.42,72.81,94.0,90.0,1.1,MM,1603228141.0
reyes,-14.32,-67.38,91.4,70.0,75.0,11.41,BO,1603228142.0
vesyegonsk,58.66,37.26,30.11,96.0,16.0,8.41,RU,1603228142.0
ponta delgada,37.73,-25.67,60.8,67.0,40.0,14.99,PT,1603227965.0
komsomolskiy,40.43,71.72,59.29,32.0,0.0,3.15,UZ,1603228142.0
vanimo,-2.67,141.3,78.28,84.0,100.0,4.47,PG,1603228142.0
pangkalanbuun,-2.68,111.62,75.25,96.0,68.0,1.48,ID,1603228143.0
chokwe,-24.53,32.98,74.86,67.0,67.0,21.52,MZ,1603228143.0
manggar,-2.88,108.27,79.88,81.0,81.0,1.81,ID,1603228143.0
sisimiut,66.94,-53.67,33.82,94.0,100.0,12.44,GL,1603227971.0
grimshaw,56.18,-117.6,24.8,79.0,75.0,3.36,CA,1603228143.0
puerto leguizamo,-0.19,-74.78,85.64,65.0,100.0,0.74,CO,1603228144.0
wanning,18.8,110.4,71.6,89.0,80.0,12.64,CN,1603228144.0
vangaindrano,-23.35,47.6,70.5,91.0,45.0,6.17,MG,1603228144.0
yuancheng,36.65,107.79,43.39,52.0,0.0,3.91,CN,1603228144.0
garowe,8.41,48.48,79.21,67.0,0.0,8.46,SO,1603227898.0
birnin kebbi,12.45,4.2,86.5,30.0,0.0,5.88,NG,1603228088.0
tukums,56.97,23.16,41.0,86.0,100.0,6.93,LV,1603228145.0
zhigansk,66.77,123.37,15.03,96.0,100.0,4.65,RU,1603227969.0
patrocinio,-18.94,-46.99,66.0,100.0,95.0,5.77,BR,1603228145.0
sandwick,60.0,-1.25,48.2,93.0,100.0,25.28,GB,1603228146.0
capinota,-17.72,-66.23,71.6,40.0,40.0,11.41,BO,1603228146.0
wajima,37.4,136.9,62.11,64.0,0.0,15.05,JP,1603228146.0
kochi,9.94,76.26,77.0,100.0,90.0,5.61,IN,1603228146.0
natchitoches,31.77,-93.13,84.2,58.0,40.0,6.93,US,1603228146.0
kitob,39.08,66.83,56.77,33.0,0.0,3.04,UZ,1603228147.0
lodja,-3.48,23.43,69.84,97.0,75.0,1.01,CD,1603227957.0
chakradharpur,22.7,85.63,71.65,69.0,47.0,3.31,IN,1603228026.0
miandrivazo,-19.52,45.47,81.52,48.0,0.0,3.15,MG,1603228147.0
pemba,-12.97,40.52,77.0,83.0,20.0,4.7,MZ,1603227750.0
port hueneme,34.15,-119.2,75.99,82.0,90.0,3.36,US,1603228028.0
skibbereen,51.55,-9.27,50.0,93.0,40.0,9.17,IE,1603228148.0
awbari,26.59,12.78,72.39,43.0,67.0,10.29,LY,1603227979.0
ewa beach,21.32,-158.01,84.2,83.0,40.0,12.75,US,1603228049.0
fort saint james,54.43,-124.25,39.27,73.0,100.0,4.23,CA,1603228148.0
marrakesh,31.63,-8.01,77.0,44.0,40.0,11.41,MA,1603228148.0
gillette,44.29,-105.5,42.8,75.0,90.0,12.75,US,1603227920.0
muroto,33.28,134.15,68.43,66.0,50.0,12.71,JP,1603228149.0
yelizovo,53.19,158.38,24.8,85.0,0.0,6.71,RU,1603228149.0
lukiv,51.05,25.4,45.0,98.0,96.0,11.99,UA,1603228149.0
arvika,59.66,12.59,46.4,100.0,100.0,10.29,SE,1603228149.0
chesma,53.81,60.65,38.89,73.0,70.0,6.91,RU,1603228150.0
fuling,29.7,107.39,55.53,85.0,91.0,1.88,CN,1603228150.0
arroyo,41.61,-4.8,59.0,93.0,75.0,16.11,ES,1603228150.0
sabinas hidalgo,26.5,-100.17,89.4,41.0,0.0,13.31,MX,1603228150.0
scarborough,54.28,-0.4,57.0,85.0,66.0,4.0,GB,1603228150.0
parrita,9.52,-84.32,77.0,69.0,40.0,12.75,CR,1603228151.0
santa maria da boa vista,-8.81,-39.83,89.8,21.0,0.0,12.37,BR,1603228151.0
molteno,-31.4,26.36,47.01,64.0,0.0,12.57,ZA,1603228151.0
blairmore,49.6,-114.44,41.0,69.0,13.0,5.82,CA,1603228151.0
san felipe,10.34,-68.74,82.67,78.0,99.0,2.98,VE,1603228151.0
san francisco,37.77,-122.42,82.0,68.0,20.0,3.36,US,1603227878.0
estacion coahuila,32.19,-115.0,100.99,11.0,5.0,2.77,MX,1603228152.0
halifax,44.65,-63.57,63.0,94.0,97.0,1.99,CA,1603227923.0
ginda,30.69,78.49,53.62,44.0,0.0,4.7,IN,1603227891.0
wau,7.7,28.0,72.61,89.0,23.0,3.91,SS,1603228152.0
zaragoza,41.66,-0.88,64.4,72.0,100.0,26.4,ES,1603227982.0
